PUSH! 居家生活用品速熱感溫矽膠電睫毛器卷翹器睫毛夾卷捷眼夾定型器I78,599,"PUSH! 居家生活用品速熱感溫矽膠電睫毛器卷翹器睫毛夾卷捷眼夾定型器I78\r\n■ 使用雙排加熱絲 雙重加熱
■ 15秒快速加熱
■ 讓睫毛更卷翹放大雙眼效果
■ 安全保護槽弱電恆溫
■ 優質abs材質 環保無毒
■ 整機重量低至14克
■ 筆式設計輕巧外觀 方便攜帶
■ 操作簡單易上手",100,0,6,./img/000002_1619142003.jpg,3
趣味認知圖卡：生活用品,142,趣味認知圖卡：生活用品\r\n,100,0,6,./img/000002_1620811661.jpg,3
PUSH!居家生活用品加厚鋁箔隔熱保溫袋保暖飯盒包帶飯盒袋子野餐袋便當袋S81,399,"PUSH!居家生活用品加厚鋁箔隔熱保溫袋保暖飯盒包帶飯盒袋子野餐袋便當袋S81\r\n高品質鋁箔 有效保溫 無懼雨天 三層防護
大空量空間.有效保溫 保冷 合理分區
全包保溫鋁箔 內置網袋 乾淨衛生 陽離子面料
保溫性好 隔熱性好 防油污鋁膜 隔溫內膽層",100,0,6,./img/000002_1637833755.jpg,3
【寵物愛家】寵物清潔便利好幫手吹風機架-標準款(寵物生活用品),590,"【寵物愛家】寵物清潔便利好幫手吹風機架-標準款(寵物生活用品)\r\n固定支架好方便
雙手撫摸 愛寵好開心",100,0,6,./img/000001_1566805618.jpg,3
PUSH!居家生活用品塑膠計量米桶儲米桶防潮防蟲儲米箱雜糧儲存桶 6KG I79,1500,"PUSH!居家生活用品塑膠計量米桶儲米桶防潮防蟲儲米箱雜糧儲存桶 6KG I79\r\n防潮棒設計 米槽分離設計:抽屈抽拉式輕鬆取米 拒絕撒漏 先進先出
向下輕按 能取出相對應分量的米.底部裝有防滑和輪子.
分解式箱體 易拆易清洗.刻度標明 易分辨 經久耐用.
透明可視窗，方便查看剩餘米量 有良好的防塵 防蟲效果",100,0,6,./img/000002_1619142133.jpg,3
PUSH!居家生活用品防塵防潮超大衣物棉被袋輕奢貢緞巨無霸收納袋整理袋I87 L號,339,"PUSH!居家生活用品防塵防潮超大衣物棉被袋輕奢貢緞巨無霸收納袋整理袋I87 L號\r\n雙開拉鏈 順滑使用體驗 棉質手提 三面可提設計
觸感輕柔 無異味  貢緞面料 精致燙金
衣物收納可依不同衣物大小選擇是當尺寸衣物袋 容量安心
內部乾燥劑小插袋 多種規格 滿足各種收納需求",100,0,6,./img/000002_1619143892.jpg,3
PUSH!居家生活用品 英倫風小狗個性化信箱郵箱郵筒報紙箱I51,3500,"PUSH!居家生活用品 英倫風小狗個性化信箱郵箱郵筒報紙箱I51\r\n大開口投遞口內部橫檔設計 防止開門掉件
投遞口蓋用掀式 取信門採用側開方式
箱體採用內嵌式防水設計 箱底排水孔
附鎖芯及鑰匙 品味出眾的設計質感",100,0,6,./img/000001_1483494277.jpg,3
PUSH!居家生活用品防塵防潮超大衣物棉被袋輕奢貢緞巨無霸收納袋整理袋I87 M號,297,"PUSH!居家生活用品防塵防潮超大衣物棉被袋輕奢貢緞巨無霸收納袋整理袋I87 M號\r\n雙開拉鏈 順滑使用體驗 棉質手提 三面可提設計
觸感輕柔 無異味  貢緞面料 精致燙金
衣物收納可依不同衣物大小選擇是當尺寸衣物袋 容量安心
內部乾燥劑小插袋 多種規格 滿足各種收納需求",100,0,6,./img/000002_1619143970.jpg,3
PUSH! 居家生活用品 復古自然風 紙巾盒 面紙盒 衛生紙抽取收納盒I06-1,450,"PUSH! 居家生活用品 復古自然風 紙巾盒 面紙盒 衛生紙抽取收納盒I06-1\r\n無任何化學處理，天然無漆，環保實用
輕質桐木碳化處理復古典雅
兼具藝術美感與實用
抽品精細打磨，不卡紙",100,0,6,./img/000002_1618540759.jpg,3
【荷生活】極簡風透明修正帶 小清新塗改帶辦公學生文具用品-6入,439,"【荷生活】極簡風透明修正帶 小清新塗改帶辦公學生文具用品-六入\r\n極簡風透明修正帶
尺寸:17cm*10.5cm
塗改錯字 修正錯字的好幫手
辦公 學生 必備文具用品",100,0,6,./img/000002_1630481722.jpg,3
